"","lake_name","core_number","sample_ID","sample_range","depth_top","depth_bottom","depth_plot","bd","d13C","percent.C","C.mar","d15N","percent.N","N.mar","C:N","fuco_nmol_gTC","allo_nmol_gTC","diato_nmol_gTC","lutein_nmol_gTC","cantha_nmol_gTC","chl_b_nmol_gTC","chl_a_nmol_gTC","chl_ap_nmol_gTC","echine_nmol_gTC","phaeo_b_nmol_gTC","pheo_a_nmol_gTC","b_car_nmol_gTC","chla_pheoa","chlb_pheob","all_chl","PI","AD_ratio","master_chl","perc_chlb","perc_diatox","fuco_flux","allo_flux","diato_flux","lutein_flux","cantha_flux","chl_b_flux","chl_a_flux","chl_ap_flux","echine_flux","phaeo_b_flux","pheo_a_flux","b_car_flux","year_CE_top","year_CE_plot","year_CE_bottom","duration","weight","s"
"1","Lower Fourmile Lake",2,"LFM2_002","0.5-1",0.5,1,0.75,0.044527215,-31.1642561401174,14.9357721673965,0.000662513772717326,0.17076155061781,1.97369751782379,8.75483218464354e-05,7.56740687593546,455.38194387048,189.598558802474,98.9351506276464,571.899395291044,91.9384099460153,290.419857713515,1819.75944813196,287.400066758477,210.85773315595,872.957065754318,1120.44139105503,662.405619805865,2940.20083918699,1163.37692346783,3227.60090594546,1.62414514731417,1.91639227918144,0.925193209325893,0.77911890146465,0.0336491131180697,0.301696809660981,0.125611656493995,0.0655458998966789,0.378891225989027,0.0609104628309668,0.19240715560581,1.2056156974199,0.19040650250737,0.139696152299771,0.57834607905314,0.742307853096515,0.438852846246742,2026.01991488226,2023.55742662865,2021.00078648165,5.01912840061391,1.04710328145621,0.00443575173276636
"2","Lower Fourmile Lake",2,"LFM2_004","1.5-2",1.5,2,1.75,0.091542571,-31.3959236269191,11.8059195027729,0.00105680127253437,-0.00618170564805231,1.53996382202606,0.000137849129531316,7.66636159493695,404.935310228124,239.880414990711,300.618964826248,868.311993408184,62.633606309626,395.957571091446,1604.5612777695,392.680346666388,75.5948403599926,970.1066514741,1256.48620301085,900.705477454043,2861.04748078036,1366.06422256555,3253.72782744674,1.27702259994943,0.797955029648101,0.763768685138148,0.772079032105153,0.10507304294868,0.427936151143181,0.253505927818255,0.317694504576344,0.917633219590622,0.0661912748514294,0.418448464999058,1.69570240020618,0.414985090056275,0.0798887234894725,1.02520994377188,1.32785621826375,0.951866694752108,2015.88750618766,2013.33086604066,2010.77422589367,5.11328029399078,1.06674548795927,0.00895145246658808
"3","Lower Fourmile Lake",2,"LFM2_006","2.5-3",2.5,3,2.75,0.090148733,-31.6397024376765,9.0625230661921,0.000653887970853849,0.506401199143627,1.1499689632769,8.29736781302331e-05,7.88066752720694,263.184596586335,213.274174329481,309.860525800698,740.290097316996,50.9175464567259,446.527356319279,1261.95261397162,526.381842264165,99.4241671240862,1516.10957745022,1325.45073959661,780.941531292872,2587.40335356823,1962.6369337695,3113.7851958324,0.952093183301322,0.688290881125847,0.507277111504914,1.14384452937998,0.119757333302276,0.172093241821828,0.139457417087834,0.202614070463525,0.484066789577809,0.0332943711334451,0.291978866954347,0.825175634063616,0.344194754732426,0.0650122668946027,0.991365815191012,0.866696294581559,0.510648273252594,2005.09405767835,2001.97052961003,1998.8470015417,6.24705613664742,1.30327667634974,0.00721529717582943
"4","Lower Fourmile Lake",2,"LFM2_008","3.5-4",3.5,4,3.75,0.134593341,-31.2957866329534,7.75501432324102,0.000846509612503268,0.961351478761529,0.958787907527063,0.000104657856999851,8.08835224386904,200.879993030277,224.416094768549,332.702773048281,573.138610062766,71.9235640817711,181.541522829706,761.457406566162,450.738134809657,87.6282245033483,1234.58906366464,1098.87508775511,662.759021858324,1860.33249432127,1416.13058649435,2311.07062913093,0.69294264202653,0.67452426895156,0.338696270044715,1.12350264140284,0.178840489032938,0.170046845059719,0.189970381422021,0.281636095491863,0.485167342714894,0.0608839883607141,0.153676644143828,0.644581014170065,0.381554163838168,0.0741781343686788,1.04509150988353,0.930208324725074,0.561031882776335,1992.59994540505,1989.47641733673,1986.43478631028,6.16515909477539,1.28619110801176,0.0109156421538302
"5","Lower Fourmile Lake",2,"LFM2_010","4.5-5",4.5,5,4.75,0.110670335,-30.8431149537562,6.97371157490433,0.000634349621532184,1.40755740631552,0.791113903744861,7.19620821766328e-05,8.81505373865025,68.0568485494049,103.782301685512,260.297842300496,348.54844242362,65.3348910093035,161.824577941035,325.356448144731,94.0417754752678,51.5353588602906,563.071956042539,895.969186146851,403.934261028802,1221.32563429158,724.896533983575,1315.36740976685,0.363133524205155,0.398705962248057,0.31368642365749,0.628450135058831,0.213127306094315,0.0431718361199881,0.0658342637959435,0.165119837748963,0.221101572537055,0.0414451633845981,0.102653359771501,0.206389739743666,0.0596553646809507,0.0326914353885506,0.357184482210971,0.568357714136753,0.256235545607503,1980.35152425738,1977.30989323092,1974.26826220447,6.08326205290314,1.26910553967374,0.00909629850214856
"6","Lower Fourmile Lake",2,"LFM2_012","5.5-6",5.5,6,5.75,0.130435449,-30.555715291336,6.67845167667546,0.000847770008668222,1.7461184332399,0.748646381517313,9.50339959133027e-05,8.92070253934837,91.19538781073,150.885832056797,454.666744046432,442.137919560754,87.0615180474825,240.812433492723,442.554718238579,115.201386724708,232.311302849836,790.041980609797,975.902461516148,542.643811359467,1418.45717975473,1030.85441410252,1533.65856647943,0.45348253098064,0.331860277956436,0.363271757697184,0.809550146417706,0.32053610819965,0.0773127147148044,0.127916483150702,0.385452829541396,0.37483126789857,0.0738081439097828,0.204153558829541,0.375184617317283,0.0976642806221969,0.196946555230732,0.669773896749827,0.827340838258883,0.460037148659972,1968.65781288366,1966.08899458929,1963.52017629493,5.13763658872767,1.07182675986696,0.01269411009784
"7","Lower Fourmile Lake",2,"LFM2_014","6.5-7",6.5,7,6.75,0.121190677,-30.2132527295179,6.43151728031849,0.000732139515915258,1.71941193984206,0.70951552387993,8.07685542224165e-05,9.06486315169518,88.2297005437668,169.470702497642,731.580106222176,478.433686656999,36.870236187746,359.78219236281,636.856295450096,589.559632061596,115.883228868148,1285.9721706098,1372.15393923168,616.182668570935,2009.01023468178,1645.75436297261,2598.56986674338,0.464128897816446,0.23165023359202,0.306876516700442,0.937192346895026,0.364149516808238,0.0645964502454616,0.124076198088442,0.535618704822737,0.350280207746607,0.0269941568741776,0.263410760151438,0.466267659858418,0.431639903620754,0.0848426910862232,0.94151104247075,1.0046081208303,0.451131680682896,1958.3825397062,1955.81372141184,1953.05951099108,5.32302871512547,1.11050373491377,0.0113836204429665
"8","Lower Fourmile Lake",2,"LFM2_016","7.5-8",7.5,8,7.75,0.117756031,-29.7246054209554,6.55839116452059,0.000564945356550344,1.6857408354519,0.700375281805695,6.03309185702847e-05,9.36410997774203,121.302540024605,173.598618908283,770.680201108953,479.937783632677,45.0573291435446,376.673545730729,404.560905188673,574.765161506971,59.3282788655249,1178.49153612289,1992.01564682698,683.849451832562,2396.57655201565,1555.16508185362,2971.34171352262,0.203091228642248,0.225253767591911,0.208592160747846,0.591607569950603,0.321575457483621,0.0685293067246627,0.0980737336557875,0.435392201001789,0.271138622296345,0.0254549288782061,0.212799970595929,0.228554804828145,0.324710909100272,0.0335172356572022,0.665783321066508,1.12537998985053,0.386337572392304,1947.55109014955,1944.79687972879,1940.71600331925,6.83508683030118,1.42595312926664,0.00861408449692008
"9","Lower Fourmile Lake",2,"LFM2_018","8.5-9",8.5,9,8.75,0.116085851,-31.3486399114819,7.23002158528941,0.000617354227758948,1.77236610599903,0.718783347140155,6.13751885751721e-05,10.0586937831208,97.2107682570229,155.971818269634,478.006200562542,212.136720621471,35.6022526024318,88.5136304167843,191.382930519492,225.376007106355,18.7433309391797,81.5174884675143,383.458272945551,198.174253443971,574.841203465044,170.031118884299,800.217210571399,0.499097148300847,0.326296642357522,0.405440492368932,0.212585030025129,0.831544777377131,0.0600134787671685,0.0962898614200086,0.295099148812277,0.130963501338584,0.0219792011618533,0.0546442639520948,0.118151061277106,0.139136830822539,0.0115712745975877,0.0503251661417113,0.236729585972081,0.122343713196609,1932.55425050017,1928.47337409063,1925.75666840923,6.79758209094507,1.41812879553469,0.00853876050681578
"10","Lower Fourmile Lake",2,"LFM2_020","9.5-10",9.5,10,9.75,0.098551891,-31.7661640201714,8.43014368007118,0.000764534972226839,1.92583063083466,0.771323752318934,6.99518307085459e-05,10.9294490863616,53.4741871164397,193.686239070204,212.569276410703,247.932827629635,32.6435718667208,75.9206121868079,100.144283423084,115.480296788561,63.1444367919257,398.413370009423,353.803697744488,176.305062786347,453.947981167572,474.333982196231,569.428277956133,0.283050414852947,0.911167607759009,0.202910487924242,1.12608594129831,0.468267918857061,0.04088288616192,0.14807990340826,0.162516645836936,0.189553317485945,0.0249571523105082,0.0580439631296858,0.0765638069455442,0.0882887254979898,0.0482761302289943,0.304600954774956,0.270495300228835,0.134791386280811,1920.32325704642,1917.60655136501,1914.88984568361,5.43341136281083,1.13353204249662,0.00906906218021166
