"class","raster_cell_count","year","Lake","area_km2","percent_of_ws","class_name"
"31",2553.01520668814,"1992","AVALANCHE_LAKE",2.29771368601933,63.2402539978165,"Barren Land (Rock/Sand/Clay)"
"42",376.781050280813,"1992","AVALANCHE_LAKE",0.339102945252732,9.33317171746612,"Evergreen Forest"
"52",301.394086364657,"1992","AVALANCHE_LAKE",0.271254677728191,7.46577557595762,"Shrub/Scrub"
"71",393.170282566454,"1992","AVALANCHE_LAKE",0.353853254309809,9.73914627251692,"Grassland/Herbaceous"
"90",19.1728195101023,"1992","AVALANCHE_LAKE",0.017255537559092,0.474926264636726,"Woody Wetlands"
"95",2,"1992","AVALANCHE_LAKE",0.0018,0.0495416195188699,"Emergent Herbaceous Wetlands"
"11",31,"1993","AVALANCHE_LAKE",0.0279,0.767895102542483,"Open Water"
"12",360.476284049451,"1993","AVALANCHE_LAKE",0.324428655644506,8.929289454977,"Perennial Ice/Snow"
"31",2553.01520668814,"1993","AVALANCHE_LAKE",2.29771368601933,63.2402539978165,"Barren Land (Rock/Sand/Clay)"
"42",376.781050280813,"1993","AVALANCHE_LAKE",0.339102945252732,9.33317171746612,"Evergreen Forest"
"52",301.394086364657,"1993","AVALANCHE_LAKE",0.271254677728191,7.46577557595762,"Shrub/Scrub"
"71",393.170282566454,"1993","AVALANCHE_LAKE",0.353853254309809,9.73914627251692,"Grassland/Herbaceous"
"90",19.1728195101023,"1993","AVALANCHE_LAKE",0.017255537559092,0.474926264636726,"Woody Wetlands"
"95",2,"1993","AVALANCHE_LAKE",0.0018,0.0495416195188699,"Emergent Herbaceous Wetlands"
"11",31,"1994","AVALANCHE_LAKE",0.0279,0.767895102542483,"Open Water"
"12",360.476284049451,"1994","AVALANCHE_LAKE",0.324428655644506,8.929289454977,"Perennial Ice/Snow"
"31",2553.01520668814,"1994","AVALANCHE_LAKE",2.29771368601933,63.2402539978165,"Barren Land (Rock/Sand/Clay)"
"42",377.355281666998,"1994","AVALANCHE_LAKE",0.339619753500298,9.3473958938912,"Evergreen Forest"
"52",300.819854978472,"1994","AVALANCHE_LAKE",0.270737869480625,7.45155139953254,"Shrub/Scrub"
"71",393.170282566454,"1994","AVALANCHE_LAKE",0.353853254309809,9.73914627251692,"Grassland/Herbaceous"
"90",19.1728195101023,"1994","AVALANCHE_LAKE",0.017255537559092,0.474926264636726,"Woody Wetlands"
"95",2,"1994","AVALANCHE_LAKE",0.0018,0.0495416195188699,"Emergent Herbaceous Wetlands"
"11",30,"1995","AVALANCHE_LAKE",0.027,0.743124292783049,"Open Water"
"12",360.476284049451,"1995","AVALANCHE_LAKE",0.324428655644506,8.929289454977,"Perennial Ice/Snow"
"31",2554.01520668814,"1995","AVALANCHE_LAKE",2.29861368601933,63.2650248075759,"Barren Land (Rock/Sand/Clay)"
"42",377.355281666998,"1995","AVALANCHE_LAKE",0.339619753500298,9.3473958938912,"Evergreen Forest"
"52",300.819854978472,"1995","AVALANCHE_LAKE",0.270737869480625,7.45155139953254,"Shrub/Scrub"
"71",393.170282566454,"1995","AVALANCHE_LAKE",0.353853254309809,9.73914627251692,"Grassland/Herbaceous"
"90",19.1728195101023,"1995","AVALANCHE_LAKE",0.017255537559092,0.474926264636726,"Woody Wetlands"
"95",2,"1995","AVALANCHE_LAKE",0.0018,0.0495416195188699,"Emergent Herbaceous Wetlands"
"11",31,"1996","AVALANCHE_LAKE",0.0279,0.767895102542483,"Open Water"
"12",360.476284049451,"1996","AVALANCHE_LAKE",0.324428655644506,8.929289454977,"Perennial Ice/Snow"
"31",2553.01520668814,"1996","AVALANCHE_LAKE",2.29771368601933,63.2402539978165,"Barren Land (Rock/Sand/Clay)"
"42",377.355281666998,"1996","AVALANCHE_LAKE",0.339619753500298,9.3473958938912,"Evergreen Forest"
"52",300.819854978472,"1996","AVALANCHE_LAKE",0.270737869480625,7.45155139953254,"Shrub/Scrub"
"71",393.170282566454,"1996","AVALANCHE_LAKE",0.353853254309809,9.73914627251692,"Grassland/Herbaceous"
"90",19.1728195101023,"1996","AVALANCHE_LAKE",0.017255537559092,0.474926264636726,"Woody Wetlands"
"95",2,"1996","AVALANCHE_LAKE",0.0018,0.0495416195188699,"Emergent Herbaceous Wetlands"
"11",31,"1997","AVALANCHE_LAKE",0.0279,0.767895102542483,"Open Water"
"12",360.476284049451,"1997","AVALANCHE_LAKE",0.324428655644506,8.929289454977,"Perennial Ice/Snow"
"31",2553.01520668814,"1997","AVALANCHE_LAKE",2.29771368601933,63.2402539978165,"Barren Land (Rock/Sand/Clay)"
"42",377.355281666998,"1997","AVALANCHE_LAKE",0.339619753500298,9.3473958938912,"Evergreen Forest"
"52",300.819854978472,"1997","AVALANCHE_LAKE",0.270737869480625,7.45155139953254,"Shrub/Scrub"
"71",393.170282566454,"1997","AVALANCHE_LAKE",0.353853254309809,9.73914627251692,"Grassland/Herbaceous"
"90",19.1728195101023,"1997","AVALANCHE_LAKE",0.017255537559092,0.474926264636726,"Woody Wetlands"
"95",2,"1997","AVALANCHE_LAKE",0.0018,0.0495416195188699,"Emergent Herbaceous Wetlands"
"11",31,"1998","AVALANCHE_LAKE",0.0279,0.767895102542483,"Open Water"
"12",360.476284049451,"1998","AVALANCHE_LAKE",0.324428655644506,8.929289454977,"Perennial Ice/Snow"
"31",2553.01520668814,"1998","AVALANCHE_LAKE",2.29771368601933,63.2402539978165,"Barren Land (Rock/Sand/Clay)"
"42",377.355281666998,"1998","AVALANCHE_LAKE",0.339619753500298,9.3473958938912,"Evergreen Forest"
"52",300.819854978472,"1998","AVALANCHE_LAKE",0.270737869480625,7.45155139953254,"Shrub/Scrub"
"71",393.170282566454,"1998","AVALANCHE_LAKE",0.353853254309809,9.73914627251692,"Grassland/Herbaceous"
"90",19.1728195101023,"1998","AVALANCHE_LAKE",0.017255537559092,0.474926264636726,"Woody Wetlands"
"95",2,"1998","AVALANCHE_LAKE",0.0018,0.0495416195188699,"Emergent Herbaceous Wetlands"
"11",31,"1999","AVALANCHE_LAKE",0.0279,0.767895102542483,"Open Water"
"12",360.476284049451,"1999","AVALANCHE_LAKE",0.324428655644506,8.929289454977,"Perennial Ice/Snow"
"31",2553.01520668814,"1999","AVALANCHE_LAKE",2.29771368601933,63.2402539978165,"Barren Land (Rock/Sand/Clay)"
"42",377.355281666998,"1999","AVALANCHE_LAKE",0.339619753500298,9.3473958938912,"Evergreen Forest"
"52",300.819854978472,"1999","AVALANCHE_LAKE",0.270737869480625,7.45155139953254,"Shrub/Scrub"
"71",393.170282566454,"1999","AVALANCHE_LAKE",0.353853254309809,9.73914627251692,"Grassland/Herbaceous"
"90",19.1728195101023,"1999","AVALANCHE_LAKE",0.017255537559092,0.474926264636726,"Woody Wetlands"
"95",2,"1999","AVALANCHE_LAKE",0.0018,0.0495416195188699,"Emergent Herbaceous Wetlands"
"11",31,"2000","AVALANCHE_LAKE",0.0279,0.767895102542483,"Open Water"
"12",360.476284049451,"2000","AVALANCHE_LAKE",0.324428655644506,8.929289454977,"Perennial Ice/Snow"
"31",2553.01520668814,"2000","AVALANCHE_LAKE",2.29771368601933,63.2402539978165,"Barren Land (Rock/Sand/Clay)"
"42",377.355281666998,"2000","AVALANCHE_LAKE",0.339619753500298,9.3473958938912,"Evergreen Forest"
"52",300.819854978472,"2000","AVALANCHE_LAKE",0.270737869480625,7.45155139953254,"Shrub/Scrub"
"71",393.170282566454,"2000","AVALANCHE_LAKE",0.353853254309809,9.73914627251692,"Grassland/Herbaceous"
"90",19.1728195101023,"2000","AVALANCHE_LAKE",0.017255537559092,0.474926264636726,"Woody Wetlands"
"95",2,"2000","AVALANCHE_LAKE",0.0018,0.0495416195188699,"Emergent Herbaceous Wetlands"
"11",31,"2001","AVALANCHE_LAKE",0.0279,0.767895102542483,"Open Water"
"12",360.476284049451,"2001","AVALANCHE_LAKE",0.324428655644506,8.929289454977,"Perennial Ice/Snow"
"31",2553.01520668814,"2001","AVALANCHE_LAKE",2.29771368601933,63.2402539978165,"Barren Land (Rock/Sand/Clay)"
"42",377.355281666998,"2001","AVALANCHE_LAKE",0.339619753500298,9.3473958938912,"Evergreen Forest"
"52",300.819854978472,"2001","AVALANCHE_LAKE",0.270737869480625,7.45155139953254,"Shrub/Scrub"
"71",393.170282566454,"2001","AVALANCHE_LAKE",0.353853254309809,9.73914627251692,"Grassland/Herbaceous"
"90",19.1728195101023,"2001","AVALANCHE_LAKE",0.017255537559092,0.474926264636726,"Woody Wetlands"
"95",2,"2001","AVALANCHE_LAKE",0.0018,0.0495416195188699,"Emergent Herbaceous Wetlands"
"11",31,"2002","AVALANCHE_LAKE",0.0279,0.767895102542483,"Open Water"
"12",360.476284049451,"2002","AVALANCHE_LAKE",0.324428655644506,8.929289454977,"Perennial Ice/Snow"
"31",2553.01520668814,"2002","AVALANCHE_LAKE",2.29771368601933,63.2402539978165,"Barren Land (Rock/Sand/Clay)"
"42",377.355281666998,"2002","AVALANCHE_LAKE",0.339619753500298,9.3473958938912,"Evergreen Forest"
"52",300.819854978472,"2002","AVALANCHE_LAKE",0.270737869480625,7.45155139953254,"Shrub/Scrub"
"71",393.170282566454,"2002","AVALANCHE_LAKE",0.353853254309809,9.73914627251692,"Grassland/Herbaceous"
"90",19.1728195101023,"2002","AVALANCHE_LAKE",0.017255537559092,0.474926264636726,"Woody Wetlands"
"95",2,"2002","AVALANCHE_LAKE",0.0018,0.0495416195188699,"Emergent Herbaceous Wetlands"
"11",31,"2003","AVALANCHE_LAKE",0.0279,0.767895102542483,"Open Water"
"12",360.476284049451,"2003","AVALANCHE_LAKE",0.324428655644506,8.929289454977,"Perennial Ice/Snow"
"31",2553.01520668814,"2003","AVALANCHE_LAKE",2.29771368601933,63.2402539978165,"Barren Land (Rock/Sand/Clay)"
"42",377.355281666998,"2003","AVALANCHE_LAKE",0.339619753500298,9.3473958938912,"Evergreen Forest"
"52",300.819854978472,"2003","AVALANCHE_LAKE",0.270737869480625,7.45155139953254,"Shrub/Scrub"
"71",393.170282566454,"2003","AVALANCHE_LAKE",0.353853254309809,9.73914627251692,"Grassland/Herbaceous"
"90",19.1728195101023,"2003","AVALANCHE_LAKE",0.017255537559092,0.474926264636726,"Woody Wetlands"
"95",2,"2003","AVALANCHE_LAKE",0.0018,0.0495416195188699,"Emergent Herbaceous Wetlands"
"11",31,"2004","AVALANCHE_LAKE",0.0279,0.767895102542483,"Open Water"
"12",360.476284049451,"2004","AVALANCHE_LAKE",0.324428655644506,8.929289454977,"Perennial Ice/Snow"
"31",2553.01520668814,"2004","AVALANCHE_LAKE",2.29771368601933,63.2402539978165,"Barren Land (Rock/Sand/Clay)"
"42",377.355281666998,"2004","AVALANCHE_LAKE",0.339619753500298,9.3473958938912,"Evergreen Forest"
"52",300.819854978472,"2004","AVALANCHE_LAKE",0.270737869480625,7.45155139953254,"Shrub/Scrub"
