lake,date,depth_m,parameter,value
UpperFourmile,2024-09-07,2.75,phycoC_RFU,-0.12
UpperFourmile,2024-09-07,2.75,temp_C,13.732
UpperFourmile,2024-09-07,3,barometer_mmHg,504.1
UpperFourmile,2024-09-07,3,chla_RFU,0.245
UpperFourmile,2024-09-07,3,cond_spec_uScm,21
UpperFourmile,2024-09-07,3,cond_uScm,16.4
UpperFourmile,2024-09-07,3,do_mgL,7.95
UpperFourmile,2024-09-07,3,do_percent,76.7
UpperFourmile,2024-09-07,3,orp_mV,166.7
UpperFourmile,2024-09-07,3,pH,7.49
UpperFourmile,2024-09-07,3,phycoC_RFU,-0.11
UpperFourmile,2024-09-07,3,temp_C,13.718499999999999
UpperFourmile,2024-09-07,3.25,barometer_mmHg,504.1
UpperFourmile,2024-09-07,3.25,chla_RFU,0.23
UpperFourmile,2024-09-07,3.25,cond_spec_uScm,20.9
UpperFourmile,2024-09-07,3.25,cond_uScm,16.4
UpperFourmile,2024-09-07,3.25,do_mgL,7.96
UpperFourmile,2024-09-07,3.25,do_percent,76.7
UpperFourmile,2024-09-07,3.25,orp_mV,166.7
UpperFourmile,2024-09-07,3.25,pH,7.49
UpperFourmile,2024-09-07,3.25,phycoC_RFU,-0.12
UpperFourmile,2024-09-07,3.25,temp_C,13.689
UpperFourmile,2024-09-07,3.5,barometer_mmHg,504.1
UpperFourmile,2024-09-07,3.5,chla_RFU,0.23
UpperFourmile,2024-09-07,3.5,cond_spec_uScm,20.9
UpperFourmile,2024-09-07,3.5,cond_uScm,16.4
UpperFourmile,2024-09-07,3.5,do_mgL,7.96
UpperFourmile,2024-09-07,3.5,do_percent,76.7
UpperFourmile,2024-09-07,3.5,orp_mV,166.7
UpperFourmile,2024-09-07,3.5,pH,7.49
UpperFourmile,2024-09-07,3.5,phycoC_RFU,-0.14
UpperFourmile,2024-09-07,3.5,temp_C,13.658000000000001
UpperFourmile,2024-09-07,3.75,barometer_mmHg,504.1
UpperFourmile,2024-09-07,3.75,chla_RFU,0.23
UpperFourmile,2024-09-07,3.75,cond_spec_uScm,21
UpperFourmile,2024-09-07,3.75,cond_uScm,16.4
UpperFourmile,2024-09-07,3.75,do_mgL,7.95
UpperFourmile,2024-09-07,3.75,do_percent,76.5
UpperFourmile,2024-09-07,3.75,orp_mV,166.8
UpperFourmile,2024-09-07,3.75,pH,7.49
UpperFourmile,2024-09-07,3.75,phycoC_RFU,-0.14
UpperFourmile,2024-09-07,3.75,temp_C,13.638
UpperFourmile,2024-09-07,4,barometer_mmHg,504.1
UpperFourmile,2024-09-07,4,chla_RFU,0.23
UpperFourmile,2024-09-07,4,cond_spec_uScm,21
UpperFourmile,2024-09-07,4,cond_uScm,16.4
UpperFourmile,2024-09-07,4,do_mgL,7.92
UpperFourmile,2024-09-07,4,do_percent,76.1
UpperFourmile,2024-09-07,4,orp_mV,166.8
UpperFourmile,2024-09-07,4,pH,7.48
UpperFourmile,2024-09-07,4,phycoC_RFU,-0.14
UpperFourmile,2024-09-07,4,temp_C,13.604
UpperFourmile,2024-09-07,4.25,barometer_mmHg,504.1
UpperFourmile,2024-09-07,4.25,chla_RFU,0.26
UpperFourmile,2024-09-07,4.25,cond_spec_uScm,21
UpperFourmile,2024-09-07,4.25,cond_uScm,16.4
UpperFourmile,2024-09-07,4.25,do_mgL,7.9
UpperFourmile,2024-09-07,4.25,do_percent,76
UpperFourmile,2024-09-07,4.25,orp_mV,166.8
UpperFourmile,2024-09-07,4.25,pH,7.48
