lake,date,depth_m,parameter,value
TurkeyCreek,2025-07-16,4.25,cond_spec_uScm,27.3
TurkeyCreek,2025-07-16,4.25,cond_uScm,18.9
TurkeyCreek,2025-07-16,4.25,do_mgL,8.98
TurkeyCreek,2025-07-16,4.25,do_percent,77.6
TurkeyCreek,2025-07-16,4.25,phycoC_RFU,-0.1
TurkeyCreek,2025-07-16,4.25,temp_C,8.907
TurkeyCreek,2025-07-16,4.5,barometer_mmHg,511.5
TurkeyCreek,2025-07-16,4.5,chla_RFU,0.505
TurkeyCreek,2025-07-16,4.5,cond_spec_uScm,28.75
TurkeyCreek,2025-07-16,4.5,cond_uScm,19.55
TurkeyCreek,2025-07-16,4.5,do_mgL,7.795
TurkeyCreek,2025-07-16,4.5,do_percent,65.55000000000001
TurkeyCreek,2025-07-16,4.5,phycoC_RFU,-0.08
TurkeyCreek,2025-07-16,4.5,temp_C,8.181000000000001
TurkeyCreek,2025-07-16,5.25,barometer_mmHg,511.6
TurkeyCreek,2025-07-16,5.25,chla_RFU,0.53
TurkeyCreek,2025-07-16,5.25,cond_spec_uScm,31.1
TurkeyCreek,2025-07-16,5.25,cond_uScm,20.2
TurkeyCreek,2025-07-16,5.25,do_mgL,6.09
TurkeyCreek,2025-07-16,5.25,do_percent,49.8
TurkeyCreek,2025-07-16,5.25,phycoC_RFU,-0.08
TurkeyCreek,2025-07-16,5.25,temp_C,6.712
TurkeyCreek,2025-07-16,5.5,barometer_mmHg,511.6
TurkeyCreek,2025-07-16,5.5,chla_RFU,0.31
TurkeyCreek,2025-07-16,5.5,cond_spec_uScm,32.6
TurkeyCreek,2025-07-16,5.5,cond_uScm,21
TurkeyCreek,2025-07-16,5.5,do_mgL,4.2
TurkeyCreek,2025-07-16,5.5,do_percent,34.1
TurkeyCreek,2025-07-16,5.5,phycoC_RFU,-0.08
TurkeyCreek,2025-07-16,5.5,temp_C,6.304
TurkeyCreek,2025-07-16,6.25,barometer_mmHg,511.6
TurkeyCreek,2025-07-16,6.25,chla_RFU,0.235
TurkeyCreek,2025-07-16,6.25,cond_spec_uScm,33.55
TurkeyCreek,2025-07-16,6.25,cond_uScm,21.35
TurkeyCreek,2025-07-16,6.25,do_mgL,3.665
TurkeyCreek,2025-07-16,6.25,do_percent,29.45
TurkeyCreek,2025-07-16,6.25,phycoC_RFU,-0.08
TurkeyCreek,2025-07-16,6.25,temp_C,5.997
TurkeyCreek,2025-07-16,6.5,barometer_mmHg,511.5
TurkeyCreek,2025-07-16,6.5,chla_RFU,0.9
TurkeyCreek,2025-07-16,6.5,cond_spec_uScm,34.4
TurkeyCreek,2025-07-16,6.5,cond_uScm,21.7
TurkeyCreek,2025-07-16,6.5,do_mgL,2.74
TurkeyCreek,2025-07-16,6.5,do_percent,21.8
TurkeyCreek,2025-07-16,6.5,phycoC_RFU,0.07
TurkeyCreek,2025-07-16,6.5,temp_C,5.712
TurkeyCreek,2025-07-16,6.75,barometer_mmHg,511.6
TurkeyCreek,2025-07-16,6.75,chla_RFU,3.84
TurkeyCreek,2025-07-16,6.75,cond_spec_uScm,36.3
TurkeyCreek,2025-07-16,6.75,cond_uScm,22.6
TurkeyCreek,2025-07-16,6.75,do_mgL,1.71
TurkeyCreek,2025-07-16,6.75,do_percent,13.5
TurkeyCreek,2025-07-16,6.75,phycoC_RFU,0.73
TurkeyCreek,2025-07-16,6.75,temp_C,5.284
TurkeyCreek,2025-07-16,7,barometer_mmHg,511.6
TurkeyCreek,2025-07-16,7,chla_RFU,8.6
TurkeyCreek,2025-07-16,7,cond_spec_uScm,40.5
TurkeyCreek,2025-07-16,7,cond_uScm,25
TurkeyCreek,2025-07-16,7,do_mgL,1.42
TurkeyCreek,2025-07-16,7,do_percent,11.2
TurkeyCreek,2025-07-16,7,phycoC_RFU,1.22
TurkeyCreek,2025-07-16,7,temp_C,4.991
TurkeyCreek,2025-07-16,7.5,barometer_mmHg,511.5
TurkeyCreek,2025-07-16,7.5,chla_RFU,3.92
TurkeyCreek,2025-07-16,7.5,cond_spec_uScm,43.9
TurkeyCreek,2025-07-16,7.5,cond_uScm,27
TurkeyCreek,2025-07-16,7.5,do_mgL,1.31
TurkeyCreek,2025-07-16,7.5,do_percent,10.2
TurkeyCreek,2025-07-16,7.5,phycoC_RFU,1.2
TurkeyCreek,2025-07-16,7.5,temp_C,4.88
TurkeyCreek,2025-07-16,7.75,barometer_mmHg,511.6
TurkeyCreek,2025-07-16,7.75,chla_RFU,3.705
TurkeyCreek,2025-07-16,7.75,cond_spec_uScm,45.45
TurkeyCreek,2025-07-16,7.75,cond_uScm,27.950000000000003
TurkeyCreek,2025-07-16,7.75,do_mgL,1.255
TurkeyCreek,2025-07-16,7.75,do_percent,9.8
TurkeyCreek,2025-07-16,7.75,phycoC_RFU,1.15
TurkeyCreek,2025-07-16,7.75,temp_C,4.8454999999999995
TurkeyCreek,2025-07-16,8,barometer_mmHg,511.5
TurkeyCreek,2025-07-16,8,chla_RFU,0.72
TurkeyCreek,2025-07-16,8,cond_spec_uScm,52.8
TurkeyCreek,2025-07-16,8,cond_uScm,32.3
TurkeyCreek,2025-07-16,8,do_mgL,0.97
TurkeyCreek,2025-07-16,8,do_percent,7.5
TurkeyCreek,2025-07-16,8,phycoC_RFU,0.97
TurkeyCreek,2025-07-16,8,temp_C,4.717
TurkeyCreek,2025-07-16,8.25,barometer_mmHg,511.6
TurkeyCreek,2025-07-16,8.25,chla_RFU,0.26
TurkeyCreek,2025-07-16,8.25,cond_spec_uScm,64.4
TurkeyCreek,2025-07-16,8.25,cond_uScm,39.2
TurkeyCreek,2025-07-16,8.25,do_mgL,0.72
TurkeyCreek,2025-07-16,8.25,do_percent,5.5
TurkeyCreek,2025-07-16,8.25,phycoC_RFU,0.41
TurkeyCreek,2025-07-16,8.25,temp_C,4.523
TurkeyCreek,2025-07-16,8.5,barometer_mmHg,511.6
TurkeyCreek,2025-07-16,8.5,chla_RFU,0.16
TurkeyCreek,2025-07-16,8.5,cond_spec_uScm,71
TurkeyCreek,2025-07-16,8.5,cond_uScm,43.1
TurkeyCreek,2025-07-16,8.5,do_mgL,0.61
TurkeyCreek,2025-07-16,8.5,do_percent,4.7
TurkeyCreek,2025-07-16,8.5,phycoC_RFU,0.17
TurkeyCreek,2025-07-16,8.5,temp_C,4.439
TurkeyCreek,2025-07-16,9.25,barometer_mmHg,511.55
TurkeyCreek,2025-07-16,9.25,chla_RFU,0.035
TurkeyCreek,2025-07-16,9.25,cond_spec_uScm,76.95
TurkeyCreek,2025-07-16,9.25,cond_uScm,46.650000000000006
