lake,date,depth_m,parameter,value
LowerFourmile,2024-09-06,3.75,phycoC_RFU,0.18
LowerFourmile,2024-09-06,3.75,temp_C,13.864
LowerFourmile,2024-09-06,4,barometer_mmHg,513.3
LowerFourmile,2024-09-06,4,chla_RFU,0.31
LowerFourmile,2024-09-06,4,cond_spec_uScm,30.1
LowerFourmile,2024-09-06,4,cond_uScm,23.7
LowerFourmile,2024-09-06,4,do_mgL,9.67
LowerFourmile,2024-09-06,4,do_percent,93.4
LowerFourmile,2024-09-06,4,orp_mV,85.55
LowerFourmile,2024-09-06,4,pH,8.91
LowerFourmile,2024-09-06,4,phycoC_RFU,0.20500000000000002
LowerFourmile,2024-09-06,4,temp_C,13.7805
LowerFourmile,2024-09-06,4.75,barometer_mmHg,513.3
LowerFourmile,2024-09-06,4.75,chla_RFU,0.3
LowerFourmile,2024-09-06,4.75,cond_spec_uScm,30.1
LowerFourmile,2024-09-06,4.75,cond_uScm,23.6
LowerFourmile,2024-09-06,4.75,do_mgL,9.69
LowerFourmile,2024-09-06,4.75,do_percent,93.5
LowerFourmile,2024-09-06,4.75,orp_mV,85.8
LowerFourmile,2024-09-06,4.75,pH,8.91
LowerFourmile,2024-09-06,4.75,phycoC_RFU,0.23
LowerFourmile,2024-09-06,4.75,temp_C,13.731
LowerFourmile,2024-09-06,5,barometer_mmHg,513.25
LowerFourmile,2024-09-06,5,chla_RFU,0.335
LowerFourmile,2024-09-06,5,cond_spec_uScm,29.95
LowerFourmile,2024-09-06,5,cond_uScm,23.5
LowerFourmile,2024-09-06,5,do_mgL,9.684999999999999
LowerFourmile,2024-09-06,5,do_percent,93.3
LowerFourmile,2024-09-06,5,orp_mV,94.65
LowerFourmile,2024-09-06,5,pH,8.67
LowerFourmile,2024-09-06,5,phycoC_RFU,0.235
LowerFourmile,2024-09-06,5,temp_C,13.6665
LowerFourmile,2024-09-06,5.25,barometer_mmHg,513.3
LowerFourmile,2024-09-06,5.25,chla_RFU,0.31
LowerFourmile,2024-09-06,5.25,cond_spec_uScm,30
LowerFourmile,2024-09-06,5.25,cond_uScm,23.4
LowerFourmile,2024-09-06,5.25,do_mgL,9.03
LowerFourmile,2024-09-06,5.25,do_percent,86.8
LowerFourmile,2024-09-06,5.25,orp_mV,100.2
LowerFourmile,2024-09-06,5.25,pH,8.37
LowerFourmile,2024-09-06,5.25,phycoC_RFU,0.16
LowerFourmile,2024-09-06,5.25,temp_C,13.55
