lake,date,depth_m,parameter,value
UpperFourmile,2025-07-16,0.25,barometer_mmHg,501.1
UpperFourmile,2025-07-16,0.25,cond_spec_uScm,20.2
UpperFourmile,2025-07-16,0.25,cond_uScm,16.2
UpperFourmile,2025-07-16,0.25,do_mgL,7.11
UpperFourmile,2025-07-16,0.25,do_percent,70
UpperFourmile,2025-07-16,0.25,orp_mV,169.4
UpperFourmile,2025-07-16,0.25,pH,7.855
UpperFourmile,2025-07-16,0.25,temp_C,14.697
UpperFourmile,2025-07-16,0.5,barometer_mmHg,501.1
UpperFourmile,2025-07-16,0.5,cond_spec_uScm,20.2
UpperFourmile,2025-07-16,0.5,cond_uScm,16.2
UpperFourmile,2025-07-16,0.5,do_mgL,7.11
UpperFourmile,2025-07-16,0.5,do_percent,70
UpperFourmile,2025-07-16,0.5,orp_mV,169
UpperFourmile,2025-07-16,0.5,pH,7.87
UpperFourmile,2025-07-16,0.5,temp_C,14.659
UpperFourmile,2025-07-16,0.75,barometer_mmHg,501.1
UpperFourmile,2025-07-16,0.75,cond_spec_uScm,20.2
UpperFourmile,2025-07-16,0.75,cond_uScm,16.2
UpperFourmile,2025-07-16,0.75,do_mgL,7.12
UpperFourmile,2025-07-16,0.75,do_percent,70
UpperFourmile,2025-07-16,0.75,orp_mV,169
UpperFourmile,2025-07-16,0.75,pH,7.87
UpperFourmile,2025-07-16,0.75,temp_C,14.631
UpperFourmile,2025-07-16,1,barometer_mmHg,501.1
UpperFourmile,2025-07-16,1,cond_spec_uScm,20.2
UpperFourmile,2025-07-16,1,cond_uScm,16.2
UpperFourmile,2025-07-16,1,do_mgL,7.13
UpperFourmile,2025-07-16,1,do_percent,70.1
UpperFourmile,2025-07-16,1,orp_mV,168.95
UpperFourmile,2025-07-16,1,pH,7.88
UpperFourmile,2025-07-16,1,temp_C,14.6345
UpperFourmile,2025-07-16,1.25,barometer_mmHg,501.1
UpperFourmile,2025-07-16,1.25,cond_spec_uScm,20.2
UpperFourmile,2025-07-16,1.25,cond_uScm,16.2
UpperFourmile,2025-07-16,1.25,do_mgL,7.13
UpperFourmile,2025-07-16,1.25,do_percent,70.2
UpperFourmile,2025-07-16,1.25,orp_mV,168.9
UpperFourmile,2025-07-16,1.25,pH,7.88
UpperFourmile,2025-07-16,1.25,temp_C,14.633
UpperFourmile,2025-07-16,1.5,barometer_mmHg,501.1
UpperFourmile,2025-07-16,1.5,cond_spec_uScm,20.2
UpperFourmile,2025-07-16,1.5,cond_uScm,16.2
UpperFourmile,2025-07-16,1.5,do_mgL,7.14
UpperFourmile,2025-07-16,1.5,do_percent,70.2
UpperFourmile,2025-07-16,1.5,orp_mV,168.7
UpperFourmile,2025-07-16,1.5,pH,7.89
UpperFourmile,2025-07-16,1.5,temp_C,14.609
UpperFourmile,2025-07-16,1.75,barometer_mmHg,501.1
UpperFourmile,2025-07-16,1.75,cond_spec_uScm,20.2
UpperFourmile,2025-07-16,1.75,cond_uScm,16.2
UpperFourmile,2025-07-16,1.75,do_mgL,7.14
UpperFourmile,2025-07-16,1.75,do_percent,70.2
UpperFourmile,2025-07-16,1.75,orp_mV,168.3
UpperFourmile,2025-07-16,1.75,pH,7.9
UpperFourmile,2025-07-16,1.75,temp_C,14.605
UpperFourmile,2025-07-16,2,barometer_mmHg,501.1
UpperFourmile,2025-07-16,2,cond_spec_uScm,20.2
UpperFourmile,2025-07-16,2,cond_uScm,16.2
