lake,date,depth_m,parameter,value
TurkeyCreek,2024-09-06,0.25,barometer_mmHg,515.1
TurkeyCreek,2024-09-06,0.25,chla_RFU,0.09
TurkeyCreek,2024-09-06,0.25,cond_spec_uScm,29.5
TurkeyCreek,2024-09-06,0.25,cond_uScm,22.8
TurkeyCreek,2024-09-06,0.25,do_mgL,11.13
TurkeyCreek,2024-09-06,0.25,do_percent,105.9
TurkeyCreek,2024-09-06,0.25,orp_mV,128.1
TurkeyCreek,2024-09-06,0.25,pH,9.65
TurkeyCreek,2024-09-06,0.25,phycoC_RFU,0.97
TurkeyCreek,2024-09-06,0.25,temp_C,13.111
TurkeyCreek,2024-09-06,0.5,barometer_mmHg,515.2
TurkeyCreek,2024-09-06,0.5,chla_RFU,0.19
TurkeyCreek,2024-09-06,0.5,cond_spec_uScm,29.6
TurkeyCreek,2024-09-06,0.5,cond_uScm,22.7
TurkeyCreek,2024-09-06,0.5,do_mgL,11.24
TurkeyCreek,2024-09-06,0.5,do_percent,106.3
TurkeyCreek,2024-09-06,0.5,orp_mV,129.4
TurkeyCreek,2024-09-06,0.5,pH,9.67
TurkeyCreek,2024-09-06,0.5,phycoC_RFU,1.1
TurkeyCreek,2024-09-06,0.5,temp_C,12.834
TurkeyCreek,2024-09-06,0.75,barometer_mmHg,515.1
TurkeyCreek,2024-09-06,0.75,chla_RFU,0.24
TurkeyCreek,2024-09-06,0.75,cond_spec_uScm,29.6
TurkeyCreek,2024-09-06,0.75,cond_uScm,22.6
TurkeyCreek,2024-09-06,0.75,do_mgL,11.38
TurkeyCreek,2024-09-06,0.75,do_percent,107.2
TurkeyCreek,2024-09-06,0.75,orp_mV,130.1
TurkeyCreek,2024-09-06,0.75,pH,9.69
TurkeyCreek,2024-09-06,0.75,phycoC_RFU,1.27
TurkeyCreek,2024-09-06,0.75,temp_C,12.658
TurkeyCreek,2024-09-06,1,barometer_mmHg,515.1
TurkeyCreek,2024-09-06,1,chla_RFU,0.23
TurkeyCreek,2024-09-06,1,cond_spec_uScm,29.5
TurkeyCreek,2024-09-06,1,cond_uScm,22.5
TurkeyCreek,2024-09-06,1,do_mgL,11.42
TurkeyCreek,2024-09-06,1,do_percent,107.4
TurkeyCreek,2024-09-06,1,orp_mV,131
TurkeyCreek,2024-09-06,1,pH,9.69
TurkeyCreek,2024-09-06,1,phycoC_RFU,1.37
TurkeyCreek,2024-09-06,1,temp_C,12.606
TurkeyCreek,2024-09-06,1.25,barometer_mmHg,515.1
TurkeyCreek,2024-09-06,1.25,chla_RFU,0.22
TurkeyCreek,2024-09-06,1.25,cond_spec_uScm,29.3
TurkeyCreek,2024-09-06,1.25,cond_uScm,22.4
TurkeyCreek,2024-09-06,1.25,do_mgL,11.344999999999999
TurkeyCreek,2024-09-06,1.25,do_percent,106.65
TurkeyCreek,2024-09-06,1.25,orp_mV,132.05
TurkeyCreek,2024-09-06,1.25,pH,9.69
