lake,date,depth_m,parameter,value
TurkeyCreek,2024-07-16,0.25,barometer_mmHg,512
TurkeyCreek,2024-07-16,0.25,chla_RFU,-0.02
TurkeyCreek,2024-07-16,0.25,cond_spec_uScm,20.6
TurkeyCreek,2024-07-16,0.25,cond_uScm,17.3
TurkeyCreek,2024-07-16,0.25,do_mgL,7.5
TurkeyCreek,2024-07-16,0.25,do_percent,76.9
TurkeyCreek,2024-07-16,0.25,orp_mV,317.5
TurkeyCreek,2024-07-16,0.25,pH,7.97
TurkeyCreek,2024-07-16,0.25,phycoC_RFU,-0.12
TurkeyCreek,2024-07-16,0.25,temp_C,16.583
TurkeyCreek,2024-07-16,1,barometer_mmHg,512
TurkeyCreek,2024-07-16,1,chla_RFU,0
TurkeyCreek,2024-07-16,1,cond_spec_uScm,20.6
TurkeyCreek,2024-07-16,1,cond_uScm,17.2
TurkeyCreek,2024-07-16,1,do_mgL,7.5
TurkeyCreek,2024-07-16,1,do_percent,76.9
TurkeyCreek,2024-07-16,1,orp_mV,318
TurkeyCreek,2024-07-16,1,pH,7.96
TurkeyCreek,2024-07-16,1,phycoC_RFU,-0.1
TurkeyCreek,2024-07-16,1,temp_C,16.531
TurkeyCreek,2024-07-16,1.25,barometer_mmHg,511.9
TurkeyCreek,2024-07-16,1.25,chla_RFU,0.03
TurkeyCreek,2024-07-16,1.25,cond_spec_uScm,20.6
TurkeyCreek,2024-07-16,1.25,cond_uScm,17.2
TurkeyCreek,2024-07-16,1.25,do_mgL,7.5
TurkeyCreek,2024-07-16,1.25,do_percent,76.7
TurkeyCreek,2024-07-16,1.25,orp_mV,318.3
TurkeyCreek,2024-07-16,1.25,pH,7.95
TurkeyCreek,2024-07-16,1.25,phycoC_RFU,-0.09
TurkeyCreek,2024-07-16,1.25,temp_C,16.428
TurkeyCreek,2024-07-16,1.5,barometer_mmHg,512
TurkeyCreek,2024-07-16,1.5,chla_RFU,0.045
TurkeyCreek,2024-07-16,1.5,cond_spec_uScm,21.2
TurkeyCreek,2024-07-16,1.5,cond_uScm,17
TurkeyCreek,2024-07-16,1.5,do_mgL,7.74
TurkeyCreek,2024-07-16,1.5,do_percent,75.95
TurkeyCreek,2024-07-16,1.5,orp_mV,318.9
TurkeyCreek,2024-07-16,1.5,pH,7.96
TurkeyCreek,2024-07-16,1.5,phycoC_RFU,-0.07
TurkeyCreek,2024-07-16,1.5,temp_C,14.425
TurkeyCreek,2024-07-16,1.75,barometer_mmHg,511.9
TurkeyCreek,2024-07-16,1.75,chla_RFU,0.05
TurkeyCreek,2024-07-16,1.75,cond_spec_uScm,21.1
TurkeyCreek,2024-07-16,1.75,cond_uScm,16.6
TurkeyCreek,2024-07-16,1.75,do_mgL,7.77
TurkeyCreek,2024-07-16,1.75,do_percent,75.3
TurkeyCreek,2024-07-16,1.75,orp_mV,320.1
TurkeyCreek,2024-07-16,1.75,pH,7.95
TurkeyCreek,2024-07-16,1.75,phycoC_RFU,-0.08
TurkeyCreek,2024-07-16,1.75,temp_C,13.929
TurkeyCreek,2024-07-16,2,barometer_mmHg,512
TurkeyCreek,2024-07-16,2,chla_RFU,0.14
TurkeyCreek,2024-07-16,2,cond_spec_uScm,21.1
TurkeyCreek,2024-07-16,2,cond_uScm,16.1
TurkeyCreek,2024-07-16,2,do_mgL,8.04
TurkeyCreek,2024-07-16,2,do_percent,75.5
TurkeyCreek,2024-07-16,2,orp_mV,320.9
TurkeyCreek,2024-07-16,2,pH,7.95
TurkeyCreek,2024-07-16,2,phycoC_RFU,-0.1
TurkeyCreek,2024-07-16,2,temp_C,12.476
TurkeyCreek,2024-07-16,2.25,barometer_mmHg,512
TurkeyCreek,2024-07-16,2.25,chla_RFU,0.13
TurkeyCreek,2024-07-16,2.25,cond_spec_uScm,20.6
TurkeyCreek,2024-07-16,2.25,cond_uScm,15.5
TurkeyCreek,2024-07-16,2.25,do_mgL,8.14
TurkeyCreek,2024-07-16,2.25,do_percent,75.9
TurkeyCreek,2024-07-16,2.25,orp_mV,321.5
TurkeyCreek,2024-07-16,2.25,pH,7.93
TurkeyCreek,2024-07-16,2.25,phycoC_RFU,-0.1
TurkeyCreek,2024-07-16,2.25,temp_C,12.206
TurkeyCreek,2024-07-16,3,barometer_mmHg,512.1
TurkeyCreek,2024-07-16,3,chla_RFU,0.12
TurkeyCreek,2024-07-16,3,cond_spec_uScm,20.2
TurkeyCreek,2024-07-16,3,cond_uScm,15.2
TurkeyCreek,2024-07-16,3,do_mgL,8.19
TurkeyCreek,2024-07-16,3,do_percent,76.1
TurkeyCreek,2024-07-16,3,orp_mV,321.9
TurkeyCreek,2024-07-16,3,pH,7.92
TurkeyCreek,2024-07-16,3,phycoC_RFU,-0.09
TurkeyCreek,2024-07-16,3,temp_C,12.061
TurkeyCreek,2024-07-16,3.25,barometer_mmHg,512.1500000000001
TurkeyCreek,2024-07-16,3.25,chla_RFU,0.155
TurkeyCreek,2024-07-16,3.25,cond_spec_uScm,19.8
TurkeyCreek,2024-07-16,3.25,cond_uScm,14.45
TurkeyCreek,2024-07-16,3.25,do_mgL,8.285
TurkeyCreek,2024-07-16,3.25,do_percent,76.05
TurkeyCreek,2024-07-16,3.25,orp_mV,322.45
TurkeyCreek,2024-07-16,3.25,pH,7.9
TurkeyCreek,2024-07-16,3.25,phycoC_RFU,-0.08499999999999999
TurkeyCreek,2024-07-16,3.25,temp_C,10.9405
TurkeyCreek,2024-07-16,3.5,barometer_mmHg,511.95
TurkeyCreek,2024-07-16,3.5,chla_RFU,0.33999999999999997
TurkeyCreek,2024-07-16,3.5,cond_spec_uScm,19.7
TurkeyCreek,2024-07-16,3.5,cond_uScm,13.8
TurkeyCreek,2024-07-16,3.5,do_mgL,8.745000000000001
TurkeyCreek,2024-07-16,3.5,do_percent,76.55
TurkeyCreek,2024-07-16,3.5,orp_mV,323.70000000000005
TurkeyCreek,2024-07-16,3.5,pH,7.88
TurkeyCreek,2024-07-16,3.5,phycoC_RFU,-0.08
TurkeyCreek,2024-07-16,3.5,temp_C,9.4375
TurkeyCreek,2024-07-16,3.75,barometer_mmHg,511.95
TurkeyCreek,2024-07-16,3.75,chla_RFU,0.535
TurkeyCreek,2024-07-16,3.75,cond_spec_uScm,19.95
TurkeyCreek,2024-07-16,3.75,cond_uScm,13.850000000000001
TurkeyCreek,2024-07-16,3.75,do_mgL,8.86
TurkeyCreek,2024-07-16,3.75,do_percent,76.75
TurkeyCreek,2024-07-16,3.75,orp_mV,324.70000000000005
TurkeyCreek,2024-07-16,3.75,pH,7.86
TurkeyCreek,2024-07-16,3.75,phycoC_RFU,-0.07500000000000001
TurkeyCreek,2024-07-16,3.75,temp_C,9.039000000000001
TurkeyCreek,2024-07-16,4.5,barometer_mmHg,511.9
TurkeyCreek,2024-07-16,4.5,chla_RFU,0.6
