lake,date,depth_m,parameter,value
LowerFourmile,2025-07-16,0.25,barometer_mmHg,509.2
LowerFourmile,2025-07-16,0.25,cond_spec_uScm,29.9
LowerFourmile,2025-07-16,0.25,cond_uScm,24.8
LowerFourmile,2025-07-16,0.25,do_mgL,8.06
LowerFourmile,2025-07-16,0.25,do_percent,81.9
LowerFourmile,2025-07-16,0.25,orp_mV,147.5
LowerFourmile,2025-07-16,0.25,pH,8.32
LowerFourmile,2025-07-16,0.25,temp_C,16.155
LowerFourmile,2025-07-16,0.5,barometer_mmHg,509.2
LowerFourmile,2025-07-16,0.5,cond_spec_uScm,29.9
LowerFourmile,2025-07-16,0.5,cond_uScm,24.8
LowerFourmile,2025-07-16,0.5,do_mgL,8.06
LowerFourmile,2025-07-16,0.5,do_percent,81.8
LowerFourmile,2025-07-16,0.5,orp_mV,147.1
LowerFourmile,2025-07-16,0.5,pH,8.34
LowerFourmile,2025-07-16,0.5,temp_C,16.067
LowerFourmile,2025-07-16,1.25,barometer_mmHg,509.2
LowerFourmile,2025-07-16,1.25,cond_spec_uScm,29.9
LowerFourmile,2025-07-16,1.25,cond_uScm,24.7
LowerFourmile,2025-07-16,1.25,do_mgL,8.07
LowerFourmile,2025-07-16,1.25,do_percent,81.7
LowerFourmile,2025-07-16,1.25,orp_mV,146.8
LowerFourmile,2025-07-16,1.25,pH,8.35
LowerFourmile,2025-07-16,1.25,temp_C,15.93
LowerFourmile,2025-07-16,1.5,barometer_mmHg,509.2
LowerFourmile,2025-07-16,1.5,cond_spec_uScm,29.9
LowerFourmile,2025-07-16,1.5,cond_uScm,24.6
LowerFourmile,2025-07-16,1.5,do_mgL,8.08
LowerFourmile,2025-07-16,1.5,do_percent,81.6
LowerFourmile,2025-07-16,1.5,orp_mV,146.6
LowerFourmile,2025-07-16,1.5,pH,8.35
LowerFourmile,2025-07-16,1.5,temp_C,15.806
LowerFourmile,2025-07-16,1.75,barometer_mmHg,509.2
LowerFourmile,2025-07-16,1.75,cond_spec_uScm,29.8
LowerFourmile,2025-07-16,1.75,cond_uScm,24.45
LowerFourmile,2025-07-16,1.75,do_mgL,8.11
LowerFourmile,2025-07-16,1.75,do_percent,81.4
LowerFourmile,2025-07-16,1.75,orp_mV,146.3
LowerFourmile,2025-07-16,1.75,pH,8.37
LowerFourmile,2025-07-16,1.75,temp_C,15.5725
LowerFourmile,2025-07-16,2,barometer_mmHg,509.2
LowerFourmile,2025-07-16,2,cond_spec_uScm,29.8
LowerFourmile,2025-07-16,2,cond_uScm,24.3
LowerFourmile,2025-07-16,2,do_mgL,8.13
LowerFourmile,2025-07-16,2,do_percent,81.3
LowerFourmile,2025-07-16,2,orp_mV,146.2
LowerFourmile,2025-07-16,2,pH,8.38
LowerFourmile,2025-07-16,2,temp_C,15.401499999999999
LowerFourmile,2025-07-16,2.25,barometer_mmHg,509.2
LowerFourmile,2025-07-16,2.25,cond_spec_uScm,29.8
LowerFourmile,2025-07-16,2.25,cond_uScm,24.3
LowerFourmile,2025-07-16,2.25,do_mgL,8.13
LowerFourmile,2025-07-16,2.25,do_percent,81.2
LowerFourmile,2025-07-16,2.25,orp_mV,146.1
LowerFourmile,2025-07-16,2.25,pH,8.39
LowerFourmile,2025-07-16,2.25,temp_C,15.334
LowerFourmile,2025-07-16,3,barometer_mmHg,509.2
LowerFourmile,2025-07-16,3,cond_spec_uScm,29.9
LowerFourmile,2025-07-16,3,cond_uScm,24.3
LowerFourmile,2025-07-16,3,do_mgL,8.155000000000001
LowerFourmile,2025-07-16,3,do_percent,81.35
LowerFourmile,2025-07-16,3,orp_mV,145.64999999999998
LowerFourmile,2025-07-16,3,pH,8.41
LowerFourmile,2025-07-16,3,temp_C,15.2625
LowerFourmile,2025-07-16,3.25,barometer_mmHg,509.2
LowerFourmile,2025-07-16,3.25,cond_spec_uScm,30.35
LowerFourmile,2025-07-16,3.25,cond_uScm,24.6
LowerFourmile,2025-07-16,3.25,do_mgL,8.344999999999999
LowerFourmile,2025-07-16,3.25,do_percent,82.94999999999999
LowerFourmile,2025-07-16,3.25,orp_mV,143.05
LowerFourmile,2025-07-16,3.25,pH,8.64
LowerFourmile,2025-07-16,3.25,temp_C,15.0845
LowerFourmile,2025-07-16,3.5,barometer_mmHg,509.2
LowerFourmile,2025-07-16,3.5,cond_spec_uScm,32.15
LowerFourmile,2025-07-16,3.5,cond_uScm,25.9
LowerFourmile,2025-07-16,3.5,do_mgL,9.535
LowerFourmile,2025-07-16,3.5,do_percent,94.15
LowerFourmile,2025-07-16,3.5,orp_mV,119
LowerFourmile,2025-07-16,3.5,pH,9.344999999999999
LowerFourmile,2025-07-16,3.5,temp_C,14.810500000000001
LowerFourmile,2025-07-16,4.5,barometer_mmHg,509.2
LowerFourmile,2025-07-16,4.5,cond_spec_uScm,39.099999999999994
LowerFourmile,2025-07-16,4.5,cond_uScm,30.95
LowerFourmile,2025-07-16,4.5,do_mgL,12.08
LowerFourmile,2025-07-16,4.5,do_percent,117.6
LowerFourmile,2025-07-16,4.5,orp_mV,104.85
LowerFourmile,2025-07-16,4.5,pH,9.98
LowerFourmile,2025-07-16,4.5,temp_C,14.0905
LowerFourmile,2025-07-16,4.75,barometer_mmHg,509.2
LowerFourmile,2025-07-16,4.75,cond_spec_uScm,41.45
LowerFourmile,2025-07-16,4.75,cond_uScm,31.05
LowerFourmile,2025-07-16,4.75,do_mgL,13.41
LowerFourmile,2025-07-16,4.75,do_percent,123.7
LowerFourmile,2025-07-16,4.75,orp_mV,128.4
LowerFourmile,2025-07-16,4.75,pH,9.475000000000001
LowerFourmile,2025-07-16,4.75,temp_C,11.872
LowerFourmile,2025-07-16,5,barometer_mmHg,509.2
LowerFourmile,2025-07-16,5,cond_spec_uScm,36.6
LowerFourmile,2025-07-16,5,cond_uScm,27.2
LowerFourmile,2025-07-16,5,do_mgL,12.22
LowerFourmile,2025-07-16,5,do_percent,112.1
LowerFourmile,2025-07-16,5,orp_mV,136.1
LowerFourmile,2025-07-16,5,pH,9.03
LowerFourmile,2025-07-16,5,temp_C,11.482
LowerFourmile,2025-07-16,5.75,barometer_mmHg,509.2
LowerFourmile,2025-07-16,5.75,cond_spec_uScm,36.3
LowerFourmile,2025-07-16,5.75,cond_uScm,26.9
LowerFourmile,2025-07-16,5.75,do_mgL,11.26
LowerFourmile,2025-07-16,5.75,do_percent,103
LowerFourmile,2025-07-16,5.75,orp_mV,138.75
LowerFourmile,2025-07-16,5.75,pH,8.93
LowerFourmile,2025-07-16,5.75,temp_C,11.379999999999999
LowerFourmile,2025-07-16,6,barometer_mmHg,509.2
LowerFourmile,2025-07-16,6,cond_spec_uScm,36.75
LowerFourmile,2025-07-16,6,cond_uScm,27.1
LowerFourmile,2025-07-16,6,do_mgL,9.075
LowerFourmile,2025-07-16,6,do_percent,82.7
LowerFourmile,2025-07-16,6,orp_mV,138.55
LowerFourmile,2025-07-16,6,pH,8.625
LowerFourmile,2025-07-16,6,temp_C,11.2015
